"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"63980";"2003-404";"Indian Wells Masters";"Hard";"64";"Masters";45;193;"Andy Roddick";"R";188;"USA";20,5;141;"Feliciano Lopez";"L";188;"ESP";21,4;"6-4 6-3";3;"R32";54;7;3;45;28;24;12;9;0;0;7;5;50;21;14;18;10;4;7;6;2275;63;643;6;6;NA;NA;NA;4;3;NA;NA;NA;2003-03-10;2003;"2003-404:45";1;0;4,41503749927884;1,02272007650008;141;"Feliciano Lopez";193;"Andy Roddick";1,02272007650008;4,41503749927884;-3,39231742277876;21,4;20,5;0,899999999999999;188;188;0;1,5;0,571428571428571;0,571428571428571;1,5;-0,928571428571429;7;0;4;0;3;0;0;3;-3;0;0;1
"64314";"2003-403";"Miami Masters";"Hard";"96";"Masters";68;162;"Carlos Moya";"R";190;"ESP";26,5;234;"Fernando Verdasco";"L";188;"ESP";19,3;"7-6(5) 6-3";3;"R32";83;3;1;54;28;24;17;10;0;1;2;3;75;51;28;15;11;4;7;5;2625;160;235;7;6;NA;NA;NA;6;3;NA;NA;NA;2003-03-17;2003;"2003-403:68";2;1;5,67807190511264;0,678071905112637;162;"Carlos Moya";234;"Fernando Verdasco";5,67807190511264;0,678071905112637;5;26,5;19,3;7,2;190;188;2;0;0,571428571428571;0;0,571428571428571;-0,571428571428571;7;1;4;0;3;1;3;1;2;0;0;1
"73747";"2003-421";"Canada Masters";"Hard";"64";"Masters";40;141;"Feliciano Lopez";"L";188;"ESP";21,8;150;"Paul Henri Mathieu";"R";185;"FRA";21,5;"6-4 3-6 7-5";3;"R32";145;15;7;82;44;33;20;15;4;7;5;8;126;69;49;25;16;11;15;37;950;59;650;6;3;7;NA;NA;4;6;5;NA;NA;2003-08-04;2003;"2003-421:40";3;1;1,79054663437105;1,11735695063816;141;"Feliciano Lopez";150;"Paul Henri Mathieu";1,79054663437105;1,11735695063816;0,673189683732891;21,8;21,5;0,300000000000001;188;185;3;0,571428571428571;0,733333333333333;0,571428571428571;0,733333333333333;-0,161904761904762;15;7;11;4;4;3;4;3;1;0;0;1
"73765";"2003-421";"Canada Masters";"Hard";"64";"Masters";58;169;"David Nalbandian";"R";180;"ARG";21,5;141;"Feliciano Lopez";"L";188;"ESP";21,8;"6-4 6-4";3;"QF";80;4;3;55;33;27;15;10;3;3;11;6;67;39;31;10;10;3;5;21;1235;37;950;6;6;NA;NA;NA;4;4;NA;NA;NA;2003-08-04;2003;"2003-421:58";4;0;2,60768257722124;1,79054663437105;141;"Feliciano Lopez";169;"David Nalbandian";1,79054663437105;2,60768257722124;-0,817135942850189;21,8;21,5;0,300000000000001;188;180;8;1;0,6;0,6;1;-0,4;5;3;3;3;2;0;0;2;-2;0;0;1
"74189";"2003-422";"Cincinnati Masters";"Hard";"64";"Masters";16;193;"Andy Roddick";"R";188;"USA";20,9;234;"Fernando Verdasco";"L";188;"ESP";19,7;"6-3 6-2";3;"R64";53;9;1;44;27;21;13;9;0;1;4;1;48;33;17;6;8;4;8;4;3005;126;294;6;6;NA;NA;NA;3;2;NA;NA;NA;2003-08-11;2003;"2003-422:16";5;1;5;0,0227200765000832;193;"Andy Roddick";234;"Fernando Verdasco";5;0,0227200765000832;4,97727992349992;20,9;19,7;1,2;188;188;0;0;0,5;0;0,5;-0,5;8;1;4;0;4;1;4;1;3;0;0;1
"85964";"2004-403";"Miami Masters";"Hard";"96";"Masters";8;156;"Jurgen Melzer";"L";183;"AUT";22,8;117;"Ivo Karlovic";"R";208;"CRO";25;"6-4 6-4";3;"R128";61;2;2;61;41;30;13;10;1;1;10;2;54;39;28;9;10;1;3;64;567;74;503;6;6;NA;NA;NA;4;4;NA;NA;NA;2004-03-22;2004;"2004-403:8";6;0;2;1,79054663437105;117;"Ivo Karlovic";156;"Jurgen Melzer";1,79054663437105;2;-0,20945336562895;25;22,8;2,2;208;183;25;1;0,333333333333333;0,333333333333333;1;-0,666666666666667;3;1;1;1;2;0;0;2;-2;0;0;1
"86005";"2004-403";"Miami Masters";"Hard";"96";"Masters";49;219;"Radek Stepanek";"R";185;"CZE";25,3;234;"Fernando Verdasco";"L";188;"ESP";20,3;"7-6(6) 7-6(3)";3;"R64";109;6;2;81;46;39;18;12;5;7;6;3;79;54;36;13;12;3;5;52;690;69;539;7;7;NA;NA;NA;6;6;NA;NA;NA;2004-03-22;2004;"2004-403:49";7;1;2,29956028185891;1,89147554322183;219;"Radek Stepanek";234;"Fernando Verdasco";2,29956028185891;1,89147554322183;0,408084738637077;25,3;20,3;5;185;188;-3;0,714285714285714;0,6;0,714285714285714;0,6;0,114285714285714;5;7;3;5;2;2;2;2;0;0;0;1
"86021";"2004-403";"Miami Masters";"Hard";"96";"Masters";65;167;"Rafael Nadal";"L";185;"ESP";17,8;71;"Roger Federer";"R";185;"SUI";22,6;"6-3 6-3";3;"R32";70;1;2;48;39;31;5;9;0;0;8;2;56;34;21;13;9;4;7;34;973;1;5635;6;6;NA;NA;NA;3;3;NA;NA;NA;2004-03-22;2004;"2004-403:65";8;0;2,91253715874966;8;71;"Roger Federer";167;"Rafael Nadal";8;2,91253715874966;5,08746284125034;22,6;17,8;4,8;185;185;0;1,5;0,571428571428571;0,571428571428571;1,5;-0,928571428571429;7;0;4;0;3;0;0;3;-3;0;0;1
"86037";"2004-403";"Miami Masters";"Hard";"96";"Masters";81;92;"Fernando Gonzalez";"R";183;"CHI";23,6;167;"Rafael Nadal";"L";185;"ESP";17,8;"7-6(1) 4-6 6-2";3;"R16";130;8;5;95;61;48;15;15;5;8;1;3;98;70;44;14;15;7;11;22;1150;34;973;7;4;6;NA;NA;6;6;2;NA;NA;2004-03-22;2004;"2004-403:81";9;1;3,5405683813627;2,91253715874966;92;"Fernando Gonzalez";167;"Rafael Nadal";3,5405683813627;2,91253715874966;0,628031222613042;23,6;17,8;5,8;183;185;-2;0,625;0,636363636363636;0,625;0,636363636363636;-0,0113636363636364;11;8;7;5;4;3;4;3;1;0;0;1
"94273";"2004-421";"Canada Masters";"Hard";"64";"Masters";5;104;"Lleyton Hewitt";"R";180;"AUS";23,4;167;"Rafael Nadal";"L";185;"ESP";18,1;"1-6 6-4 6-2";3;"R64";104;7;3;67;29;23;18;12;3;7;1;0;86;63;36;12;13;7;12;10;1990;62;664;1;6;6;NA;NA;6;4;2;NA;NA;2004-07-26;2004;"2004-421:5";10;1;3,67807190511264;1,04580368961313;104;"Lleyton Hewitt";167;"Rafael Nadal";3,67807190511264;1,04580368961313;2,63226821549951;23,4;18,1;5,3;180;185;-5;0,428571428571429;0,583333333333333;0,428571428571429;0,583333333333333;-0,154761904761905;12;7;7;3;5;4;5;4;1;0;0;1
